gis_nr,farm_id,bfsnr,gembez,estate_nr,flaeche,blw_nr,blw_name,harvest_date,has_nhg_contract,lz_code,hang_50,hang_reb_0,hang_reb_30,hang_reb_50,einzelkulturbeitrag,outside_canton,bfs_parz,birth,bfsnr_num,has_bff_q2_contract,has_connectivity_contract,has_lqb_contract,region,contribution,used,operating_rate,hang_0,hang_18,hang_35,q1_from,geodb_oid
"124175",0248/ 1/ 13,"0248",Uitikon,"2675",316,"0712",Christbäume,,0,31,0,0,0,0,N,N,0248_2675,2023,248,N,N,N,Anstalt,J,J,100,316,0,0,,442
"11319312",0219/ 1/ 54,"0219",Elsau,"3486",92,"0712",Christbäume,,0,31,0,0,0,0,N,N,0219_3486,2023,219,N,N,N,Juchert/Holzacher,J,J,100,92,0,0,,765
"334652",0219/ 1/ 54,"0219",Elsau,"3486",155,"0712",Christbäume,,0,31,0,0,0,0,N,N,0219_3486,2023,219,N,N,N,Juchert/Holzacher,J,J,100,155,0,0,,945
"343041",0097/ 1/  4,"0097",Rümlang,"5976",36,"0712",Christbäume,,0,31,0,0,0,0,N,N,0097_5976,2023,97,N,N,N,Chilisbäum,J,J,100,36,0,0,,964
"340195",0158/ 1/ 86,"0158",Stäfa,"12439",50,"0712",Christbäume,,0,31,0,0,0,0,N,N,0158_12439,2023,158,N,N,N,Stieglrain,J,J,100,47,3,0,,1116
"314541",0212/ 1/ 41,"4571",Gachnang,"38",25,"0712",Christbäume,,0,31,0,0,0,0,N,J,4571_38,2023,4571,N,N,N,Lätte,J,J,100,25,0,0,,1549
"22663",0112/ 1/ 51,"0112",Bubikon,"3701",9,"0712",Christbäume,,0,31,0,0,0,0,N,N,0112_3701,2023,112,N,N,N,Dreispitz,J,J,100,8,1,0,,1675
"375659",0261/ 1/999,"0250",Urdorf,"5026",45,"0712",Christbäume,,0,31,0,0,0,0,N,N,0250_5026,2023,250,N,N,N,Schuepissen,J,J,100,45,0,0,,3397
"358508",0251/ 1/ 29,"0251",Weiningen (ZH),"2977",11,"0712",Christbäume,,0,31,0,0,0,0,N,N,0251_2977,2023,251,N,N,N,Längg,J,J,100,11,0,0,,3806
"344474",0043/ 1/  8,"0038",Rheinau,"1194",35,"0712",Christbäume,,0,31,0,0,0,0,N,N,0038_1194,2023,38,N,N,N,Rüedifar,J,J,100,19,16,0,,4266
